Repetition rate,exeTime[s]
1,2.1038
2,2.0668
3,2.1785
4,2.0908
5,2.0414
6,2.08
7,2.0114
8,1.9912
9,1.9309
10,2.1127
11,1.9952
12,2.2314
13,2.3465
14,2.0378
15,1.9732
16,2.034
17,2.0044
18,2.0446
19,2.0248
20,2.053
21,2.0326
22,2.0267
23,1.9608
24,2.0477
25,1.9438
26,2.093
27,2.2242
28,2.1243
29,2.1567
30,2.1516
31,2.0575
32,1.9235
33,2.0991
34,2.0507
35,2.1248
36,2.0771
37,2.0059
38,2.063
39,2.0383
40,1.9737
41,2.0572
42,2.1375
43,2.2128
44,2.1207
45,2.4614
46,2.1343
47,2.0496
48,1.9928
49,2.0136
50,2.1835
51,2.1309
52,2.053
53,2.1854
54,2.3897
55,2.917
56,1.9489
57,2.0054
58,2.0932
59,2.1515
60,2.0917
61,2.0743
62,1.9968
63,2.005
64,1.9209
65,2.0142
66,2.0969
67,2.0655
68,2.0688
69,2.0012
70,2.0891
71,2.0352
72,1.9667
73,2.034
74,2.0157
75,2.2207
76,2.0832
77,2.0928
78,2.07
79,2.061
80,1.9601
81,2.0023
82,2.5981
83,2.2902
84,2.3499
85,2.1726
86,2.0816
87,2.0407
88,1.996
89,2.0938
90,2.0287
91,2.0652
92,2.0666
93,2.0964
94,1.9877
95,1.9371
96,2.0689
97,2.0241
98,2.0399
99,2.0313
100,2.1432
101,2.0702
102,2.0617
103,2.2726
104,2.1915
105,2.2958
106,2.3445
107,2.53
108,2.4314
109,2.3092
110,2.3402
111,2.0605
112,2.122
113,2.0648
114,2.0595
115,2.0879
116,2.4772
117,2.3432
118,2.0118
119,2.0753
120,2.0834
121,2.0472
122,2.1078
123,2.0167
124,2.0884
125,2.0602
126,1.9294
127,1.9576
128,2.009
129,2.0255
130,2.0541
131,2.0204
132,2.0299
133,2.0033
134,1.9455
135,2.0141
136,2.0757
137,2.9281
138,2.0417
139,2.2328
140,2.0557
141,2.082
142,1.9923
143,2.0288
144,2.0589
145,2.0676
146,2.1026
147,2.1122
148,2.0682
149,2.0562
150,1.9366
151,1.9241
152,2.0858
153,2.0695
154,2.1198
155,2.0295
156,2.1047
157,1.9476
158,1.9759
159,1.9357
160,2.0552
161,2.0423
162,2.0295
163,2.0919
164,2.0342
165,1.964
166,1.9647
167,2.0032
168,2.0238
169,2.0716
170,2.1109
171,2.1156
172,2.0016
173,2.0454
174,2.0036
175,2.0504
176,2.0665
177,2.0926
178,2.1168
179,2.0662
180,2.065
181,1.955
182,1.9617
183,2.0127
184,2.0576
185,2.0466
186,2.0355
187,2.017
