Repetition rate,Coppelia_simTime[s],,
1,0.2,,
2,0.25,,
3,0.25,,
4,0.3,,
5,0.25,,
6,0.3,,
7,0.35001,,
8,0.25,,
9,0.3,,
10,0.3,,
11,0.3,,
12,0.3,,
13,0.34999,,
14,0.3,,
15,0.34999,,
16,0.35001,,
17,0.2,,
18,0.3,,
19,0.35001,,
20,0.24997,,
21,0.29996,,
22,0.25,,
23,0.25,,
24,0.30002,,
25,0.25003,,
26,0.30002,,
27,0.24997,,
28,0.30002,,
29,0.20001,,
30,0.25,,
31,0.30002,,
32,0.29996,,
33,0.30002,,
34,0.25003,,
35,0.20001,,
36,0.30005,,
37,0.29999,,
38,0.20001,,
39,0.29999,,
40,0.30005,,
41,0.24994,,
42,0.30005,,
43,0.15002,,
44,0.29993,,
45,0.14996,,
46,0.25,,
47,0.29999,,
48,0.25006,,
49,0.29993,,
50,0.29999,,
51,0.29999,,
52,0.29999,,
53,0.19995,,
54,0.25,,
55,0.20001,,
56,0.25,,
57,0.30005,,
58,0.25,,
59,0.25,,
60,0.30005,,
61,0.29999,,
62,0.25,,
63,0.24994,,
64,0.30005,,
65,0.25,,
66,0.29999,,
67,0.24994,,
68,0.25,,
69,0.25006,,
70,0.30005,,
71,0.29993,,
72,0.25,,
73,0.29993,,
74,0.24988,,
75,0.30005,,
76,0.24988,,
77,0.34998,,
78,0.25,,
79,0.30005,,
80,0.30005,,
81,0.25,,
82,0.19995,,
83,0.29993,,
84,0.25,,
85,0.30005,,
86,0.29993,,
87,0.29993,,
88,0.30005,,
89,0.34998,,
90,0.25,,
91,0.29993,,
92,0.30005,,
93,0.30005,,
94,0.29993,,
95,0.25,,
96,0.25012,,
97,0.25,,
98,0.30005,,
99,0.34998,,
100,0.25,,
101,0.19995,,
102,0.30005,,
103,0.24988,,
104,0.20007,,
105,0.25,,
106,0.15002,,
107,0.20007,,
108,0.19995,,
109,0.30005,,
110,0.29993,,
111,0.24988,,
112,0.30005,,
113,0.29993,,
114,0.34998,,
115,0.20007,,
116,0.20007,,
117,0.30005,,
118,0.29993,,
119,0.25,,
120,0.25,,
121,0.30005,,
122,0.34998,,
123,0.25012,,
124,0.30005,,
125,0.30005,,
126,0.24988,,
127,0.30005,,
128,0.25,,
129,0.20007,,
130,0.29993,,
131,0.2998,,
132,0.30005,,
133,0.29993,,
134,0.3501,,
135,0.25,,
136,0.30005,,
137,0.15002,,
138,0.25,,
139,0.25,,
140,0.25,,
141,0.25,,
142,0.25,,
143,0.30005,,
144,0.25,,
145,0.29993,,
146,0.15002,,
147,0.25012,,
148,0.20007,,
149,0.30005,,
150,0.30005,,
151,0.30005,,
152,0.25,,
153,0.25,,
154,0.34985,,
155,0.30005,,
156,0.19995,,
157,0.2998,,
158,0.25,,
159,0.24976,,
160,0.19995,,
161,0.24976,,
162,0.30005,,
163,0.30005,,
164,0.2998,,
165,0.24976,,
166,0.30005,,
167,0.30005,,
168,0.30005,,
169,0.30005,,
170,0.19995,,
171,0.25024,,
172,0.2998,,
173,0.24976,,
174,0.30005,,
175,0.30005,,
176,0.30005,,
177,0.25,,
178,0.2998,,
179,0.30005,,
180,0.25,,
181,0.30005,,
182,0.34985,,
183,0.30005,,
184,0.3501,,
185,0.30005,,
186,0.2998,,
187,0.30005,,
188,0.30005,,
189,0.3999,,
190,0.25,,
191,0.30005,,
192,0.25,,
193,0.30005,,
194,0.3501,,
195,0.35034,,
196,0.25024,,
197,0.30005,,
198,0.2998,,
199,0.30005,,
200,0.30005,,
201,0.3,,
202,0.25,,
203,0.3,,
204,0.3,,
205,0.3,,
206,0.25,,
207,0.35,,
208,0.3,,
209,0.35001,,
210,0.25,,
211,0.3,,
212,0.3,,
213,0.3,,
214,0.34999,,
215,0.3,,
216,0.3,,
217,0.3,,
218,0.25,,
219,0.30002,,
220,0.35001,,
221,0.29996,,
222,0.25003,,
223,0.34998,,
224,0.30002,,
225,0.30002,,
226,0.29999,,
227,0.30005,,
228,0.29999,,
229,0.35004,,
230,0.29996,,
231,0.35001,,
232,0.34998,,
233,0.25003,,
234,0.35001,,
235,0.30002,,
236,0.24994,,
237,0.29999,,
238,0.29999,,
239,0.30005,,
240,0.30005,,
241,0.35004,,
242,0.30005,,
243,0.34998,,
244,0.29999,,
245,0.40002,,
246,0.34998,,
247,0.25,,
248,0.24994,,
249,0.29993,,
250,0.24994,,
251,0.35004,,
252,0.34998,,
253,0.15002,,
254,0.25,,
255,0.29993,,
256,0.30005,,
257,0.24994,,
258,0.25006,,
259,0.29999,,
260,0.25006,,
261,0.30005,,
262,0.29993,,
263,0.30005,,
264,0.29999,,
265,0.29993,,
266,0.29999,,
267,0.29999,,
268,0.40002,,
269,0.30005,,
270,0.29993,,
271,0.29993,,
272,0.34998,,
273,0.25,,
274,0.29993,,
275,0.25012,,
276,0.24988,,
277,0.30005,,
278,0.30005,,
279,0.20007,,
280,0.25,,
281,0.25012,,
282,0.29993,,
283,0.29993,,
284,0.2998,,
285,0.30005,,
286,0.29993,,
287,0.30005,,
288,0.25,,
289,0.29993,,
290,0.25,,
291,0.25,,
292,0.30005,,
293,0.25,,
294,0.25012,,
295,0.34985,,
296,0.30005,,
297,0.25012,,
298,0.15002,,
299,0.30005,,
300,0.30005,,
301,0.25,,
302,0.30005,,
303,0.19995,,
304,0.29993,,
305,0.29993,,
306,0.30005,,
307,0.25,,
308,0.25012,,
309,0.30005,,
310,0.25,,
311,0.25,,
312,0.34998,,
313,0.30005,,
314,0.30005,,
315,0.34985,,
316,0.29993,,
317,0.25,,
318,0.30005,,
319,0.30005,,
320,0.30005,,
321,0.30005,,
322,0.29993,,
323,0.34998,,
324,0.20007,,
325,0.25,,
326,0.2998,,
327,0.25012,,
328,0.29993,,
329,0.30005,,
330,0.25,,
331,0.25012,,
332,0.3501,,
333,0.25,,
334,0.25012,,
335,0.29993,,
336,0.2998,,
337,0.40002,,
338,0.25,,
339,0.30005,,
340,0.25,,
341,0.24988,,
342,0.25,,
343,0.19995,,
344,0.29993,,
345,0.25,,
346,0.30005,,
347,0.2998,,
348,0.3501,,
349,0.30005,,
350,0.25,,
351,0.25,,
352,0.25,,
353,0.2998,,
354,0.2002,,
355,0.25,,
356,0.30005,,
357,0.25024,,
358,0.29956,,
359,0.19995,,
360,0.30005,,
361,0.25,,
362,0.25,,
363,0.2998,,
364,0.3501,,
365,0.30005,,
366,0.3501,,
367,0.25,,
368,0.25,,
369,0.25,,
370,0.30005,,
371,0.1499,,
372,0.24976,,
373,0.30005,,
374,0.34985,,
375,0.30005,,
376,0.2998,,
377,0.2998,,
378,0.2998,,
379,0.34985,,
380,0.24976,,
381,0.25,,
382,0.35034,,
383,0.25,,
384,0.30005,,
385,0.34985,,
386,0.34985,,
387,0.19995,,
388,0.30005,,
389,0.24976,,
390,0.30005,,
391,0.30005,,
392,0.25,,
393,0.34985,,
394,0.30005,,
395,0.25024,,
396,0.30005,,
397,0.30005,,
398,0.24976,,
399,0.24976,,
400,0.2998,,
401,0.3,,
402,0.3,,
403,0.3,,
404,0.25,,
405,0.2,,
406,0.3,,
407,0.3,,
408,0.3,,
409,0.3,,
410,0.29999,,
411,0.2,,
412,0.3,,
413,0.20001,,
414,0.25,,
415,0.25,,
416,0.29999,,
417,0.3,,
418,0.25,,
419,0.25003,,
420,0.35001,,
421,0.34998,,
422,0.25,,
423,0.30002,,
424,0.30002,,
425,0.30005,,
426,0.25,,
427,0.25003,,
428,0.25003,,
429,0.20001,,
430,0.14999,,
431,0.25003,,
432,0.29999,,
433,0.24997,,
434,0.25,,
435,0.19998,,
436,0.25003,,
437,0.29999,,
438,0.29999,,
439,0.30005,,
440,0.20001,,
441,0.29993,,
442,0.25,,
443,0.29993,,
444,0.30005,,
445,0.25,,
446,0.29999,,
447,0.20007,,
448,0.15002,,
449,0.15002,,
450,0.25,,
451,0.19995,,
452,0.29999,,
453,0.25,,
454,0.30005,,
455,0.29999,,
456,0.20001,,
457,0.29999,,
458,0.29999,,
459,0.30005,,
460,0.29999,,
461,0.30005,,
462,0.29999,,
463,0.29999,,
464,0.29993,,
465,0.29999,,
466,0.29999,,
467,0.25,,
468,0.24994,,
469,0.29999,,
470,0.25,,
471,0.30005,,
472,0.29999,,
473,0.24994,,
474,0.35004,,
475,0.30005,,
476,0.25,,
477,0.25,,
478,0.25,,
479,0.25,,
480,0.20007,,
481,0.30005,,
482,0.29993,,
483,0.25,,
484,0.30005,,
485,0.25,,
486,0.30005,,
487,0.15002,,
488,0.34998,,
489,0.30005,,
490,0.34998,,
491,0.30005,,
492,0.30005,,
493,0.29993,,
494,0.25,,
495,0.29993,,
496,0.29993,,
497,0.25,,
498,0.2998,,
499,0.25,,
500,0.30005,,
501,0.25,,
502,0.1499,,
503,0.3501,,
504,0.25012,,
505,0.34998,,
506,0.30005,,
507,0.30005,,
508,0.25012,,
509,0.25,,
510,0.25,,
511,0.25,,
512,0.19995,,
513,0.29993,,
514,0.34998,,
515,0.29993,,
516,0.25,,
517,0.25,,
518,0.29993,,
519,0.30005,,
520,0.29993,,
521,0.34998,,
522,0.2998,,
523,0.25012,,
524,0.25,,
525,0.34998,,
526,0.29993,,
527,0.30005,,
528,0.25,,
529,0.30005,,
530,0.30005,,
531,0.29993,,
532,0.30005,,
533,0.29993,,
534,0.30005,,
535,0.24988,,
536,0.25,,
537,0.30005,,
538,0.29993,,
539,0.30005,,
540,0.34998,,
541,0.29993,,
542,0.30005,,
543,0.29993,,
544,0.25,,
545,0.29993,,
546,0.30005,,
547,0.30005,,
548,0.30005,,
549,0.34985,,
550,0.25,,
551,0.30005,,
552,0.30005,,
553,0.25,,
554,0.30005,,
555,0.24976,,
556,0.30005,,
557,0.25,,
558,0.30005,,
559,0.30005,,
560,0.30005,,
561,0.2998,,
562,0.30005,,
563,0.30005,,
564,0.30005,,
565,0.34985,,
