Repetition rate,exeTime[s],,real time
1,2.236,,”{—¦100
2,2.065,,
3,2.2246,,
4,2.0528,,
5,2.1443,,
6,2.1301,,
7,2.1238,,
8,2.147,,
9,2.0833,,
10,2.1682,,
11,2.0505,,
12,2.0583,,
13,2.0338,,
14,2.0489,,
15,2.0783,,
16,2.1713,,
17,2.0463,,
18,2.0633,,
19,2.1531,,
20,2.1706,,
21,2.2414,,
22,2.2212,,
23,2.242,,
24,2.2232,,
25,2.1333,,
26,2.0874,,
27,2.1191,,
28,1.9641,,
29,2.1211,,
30,2.0361,,
31,2.0918,,
32,2.1177,,
33,2.0983,,
34,2.0937,,
35,2.0907,,
36,2.0659,,
37,2.0652,,
38,2.1231,,
39,2.0486,,
40,2.0106,,
41,2.101,,
42,2.0387,,
43,2.2243,,
44,2.0836,,
45,2.1129,,
46,2.249,,
47,2.0754,,
48,2.2149,,
49,2.1598,,
50,2.1642,,
51,2.2526,,
52,2.1885,,
53,2.0921,,
54,1.9679,,
55,2.0131,,
56,1.9715,,
57,2.132,,
58,2.2476,,
59,2.1953,,
60,2.1281,,
61,2.1191,,
62,2.1977,,
63,2.084,,
64,2.169,,
65,2.2056,,
66,2.1657,,
67,2.0151,,
68,1.9711,,
69,1.9554,,
70,2.0513,,
71,2.0913,,
72,2.1071,,
73,2.0884,,
74,2.2093,,
75,2.1249,,
76,2.1404,,
77,2.1208,,
78,2.0698,,
79,2.1505,,
80,2.1241,,
81,2.1155,,
82,1.999,,
83,2.0496,,
84,2.0483,,
85,2.1009,,
86,2.1133,,
87,2.0825,,
88,2.0742,,
89,2.1224,,
90,2.1095,,
91,2.1859,,
92,2.2245,,
93,2.0351,,
94,2.1493,,
95,2.0205,,
96,1.9998,,
97,1.9186,,
98,1.9594,,
99,2.1585,,
100,2.1839,,
101,2.2061,,
102,2.2386,,
103,2.1503,,
104,2.074,,
105,2.1065,,
106,2.1549,,
107,2.1667,,
108,2.0983,,
109,1.9897,,
110,2.0562,,
111,2.1923,,
112,2.043,,
113,2.2283,,
114,2.1495,,
115,2.1781,,
116,2.1838,,
117,2.0668,,
118,2.1297,,
119,2.1371,,
120,2.1078,,
121,2.1848,,
122,2.0612,,
123,2.0244,,
124,1.9875,,
125,1.9929,,
126,1.9843,,
127,2.125,,
128,2.1237,,
129,2.1134,,
130,2.1512,,
131,2.1133,,
132,2.1982,,
133,2.2182,,
134,2.0629,,
135,2.1931,,
136,2.1304,,
137,2.0769,,
138,2.0233,,
139,1.9581,,
140,2.0008,,
141,2.0983,,
142,2.2094,,
143,2.2302,,
144,2.1505,,
145,2.1519,,
146,2.1747,,
147,2.2341,,
148,2.1295,,
149,2.2383,,
150,2.0802,,
151,2.0398,,
152,1.9984,,
153,2.0017,,
154,2.0288,,
155,2.1648,,
156,2.1208,,
157,2.2293,,
158,2.1423,,
159,2.1768,,
160,2.15,,
161,2.1284,,
162,2.0268,,
163,2.0939,,
164,2.1551,,
165,1.9835,,
166,2.0366,,
167,1.977,,
168,1.9914,,
169,2.1999,,
170,2.0954,,
171,2.1537,,
172,2.1151,,
173,2.1229,,
174,2.1788,,
175,2.1281,,
176,2.1208,,
177,2.1819,,
178,2.1074,,
179,2.025,,
180,2.0847,,
181,2.0174,,
182,2.0109,,
183,2.1343,,
184,2.1425,,
185,2.1787,,
186,2.0666,,
187,2.1902,,
188,2.1892,,
189,2.1209,,
190,2.2082,,
191,2.3037,,
192,2.1116,,
193,2.0333,,
194,2.0032,,
195,1.9939,,
196,2.1194,,
197,2.2549,,
198,2.0515,,
199,2.1592,,
200,2.1467,,
201,2.2083,,
202,2.1721,,
203,2.0817,,
204,2.2196,,
205,2.3718,,
206,2.0202,,
207,2.0832,,
208,2.0684,,
209,1.9757,,
210,1.9826,,
211,2.2013,,
212,2.1165,,
213,2.0487,,
214,2.0473,,
215,2.1721,,
216,2.1168,,
217,2.2516,,
218,2.1874,,
219,2.1066,,
220,2.1807,,
221,2.0605,,
222,2.0762,,
223,1.9863,,
224,2.0387,,
225,2.1931,,
226,2.2335,,
227,2.1621,,
228,2.1585,,
229,2.1189,,
230,2.0767,,
231,2.0848,,
232,2.1624,,
233,2.1988,,
234,2.1741,,
235,2.1125,,
236,2.0886,,
237,2.0591,,
238,2.0541,,
239,2.1884,,
240,2.1604,,
241,2.2981,,
242,2.2138,,
243,2.1712,,
244,2.1647,,
245,2.125,,
246,2.088,,
247,2.2376,,
248,2.1144,,
249,2.0368,,
250,2.0641,,
251,1.9486,,
252,1.9865,,
253,2.1208,,
254,2.1992,,
255,2.0857,,
256,2.1709,,
257,2.1603,,
258,2.1571,,
259,2.1351,,
260,2.1702,,
261,2.2136,,
262,2.1691,,
263,1.9715,,
264,2.0658,,
265,2.05,,
266,1.9809,,
267,2.1308,,
268,2.0842,,
269,2.1264,,
270,2.1015,,
271,2.0153,,
272,2.1941,,
273,2.0863,,
274,2.2033,,
275,2.1087,,
276,2.0807,,
277,2.0675,,
278,2.0012,,
279,2.0192,,
280,1.9791,,
281,2.0071,,
282,2.12,,
283,2.0784,,
284,2.1562,,
285,2.2232,,
286,2.1025,,
287,2.1389,,
288,2.1788,,
289,2.1881,,
290,2.1178,,
291,2.1217,,
292,2.0311,,
293,2.066,,
294,2.1218,,
295,1.9629,,
296,2.1751,,
297,2.1758,,
298,2.1996,,
299,2.0482,,
300,2.2053,,
301,2.2625,,
302,2.1245,,
303,2.1551,,
304,2.0857,,
305,2.2409,,
306,1.9968,,
307,1.9971,,
308,1.9595,,
309,1.9867,,
310,2.1557,,
311,2.1777,,
312,2.084,,
313,2.0227,,
314,2.1807,,
315,2.2527,,
316,2.1355,,
317,2.1328,,
318,2.1534,,
319,2.1464,,
320,2.061,,
321,2.0848,,
322,2.1169,,
323,2.03,,
324,2.1022,,
325,2.1355,,
326,2.1312,,
327,2.2337,,
328,2.1276,,
329,2.1792,,
330,2.0238,,
331,2.1329,,
332,2.1553,,
333,2.0408,,
334,2.2432,,
335,1.9825,,
336,1.9851,,
337,2.005,,
338,2.0562,,
339,2.1805,,
340,2.2206,,
341,2.1639,,
342,2.0793,,
343,2.1587,,
344,2.1658,,
345,2.0535,,
346,2.1696,,
347,2.1227,,
348,2.1879,,
349,2.0002,,
350,2.0403,,
351,2.0508,,
352,1.9932,,
353,2.1054,,
354,2.1711,,
355,2.0653,,
356,2.0388,,
357,2.0385,,
358,2.1627,,
359,2.1031,,
360,2.0811,,
361,2.1905,,
362,2.0968,,
363,2.047,,
364,2.0136,,
365,2.0216,,
366,1.9886,,
367,2.1199,,
368,2.1024,,
369,2.0901,,
370,2.1035,,
371,2.1614,,
372,2.2866,,
373,2.1098,,
374,2.1066,,
375,1.9898,,
376,2.057,,
377,2.0493,,
378,2.1359,,
379,2.0209,,
380,2.0285,,
381,2.19,,
382,2.0859,,
383,2.1295,,
384,2.0616,,
385,2.0568,,
386,2.2297,,
387,2.1621,,
388,2.2238,,
389,2.1076,,
390,2.2493,,
391,2.1261,,
392,2.0607,,
393,2.049,,
394,2.0855,,
395,2.0452,,
396,2.1445,,
397,2.1374,,
398,2.0907,,
399,2.0301,,
400,2.1498,,
401,2.2162,,
402,2.1782,,
403,2.1704,,
404,2.197,,
405,2.1171,,
406,2.0464,,
407,1.9701,,
408,1.9678,,
409,1.969,,
410,2.186,,
411,2.1616,,
412,2.1005,,
413,2.1807,,
414,2.0864,,
415,2.1427,,
416,2.1538,,
417,2.0839,,
418,2.2538,,
419,2.1122,,
420,2.0369,,
421,2.0419,,
422,2.1087,,
423,2.0744,,
424,2.0618,,
425,2.0891,,
426,2.1194,,
427,2.2413,,
428,2.1291,,
429,2.1464,,
430,2.1473,,
431,2.1336,,
432,2.0221,,
433,2.1245,,
434,2.0931,,
435,2.0882,,
436,2.0379,,
437,2.042,,
438,2.0248,,
439,2.0988,,
440,2.1053,,
441,2.0858,,
442,2.2032,,
443,2.1222,,
444,2.0852,,
445,2.0283,,
446,2.1986,,
447,2.1747,,
448,2.1303,,
449,2.0474,,
450,2.0757,,
451,1.9366,,
452,2.0161,,
453,2.1725,,
454,2.1421,,
