Repetition rate,Coppelia_simTime[s]
1,2.09
1,2.08
1,2.07
1,2.1
1,2.1
1,2.09
1,2.08
1,2.11
1,2.08
2,2.07
2,2.11
2,2.08
2,2.11
2,2.11
2,2.1
2,2.09
2,2.1
2,2.09
3,2.09
3,2.08
3,2.07
3,2.09
3,2.09
3,2.09
3,2.08
3,2.1
3,2.09
4,2.08
4,2.1
4,2.11
4,2.08
4,2.07
4,2.08
4,2.08
4,2.09
4,2.09
5,2.09
5,2.1
5,2.09
5,2.1
5,2.09
5,2.1
5,2.08
5,2.09
5,2.08
6,2.11
6,2.11
6,2.09
6,2.08
6,2.07
6,2.08
6,2.09
6,2.07
6,2.08
7,2.08
7,2.09
7,2.08
7,2.08
7,2.08
7,2.08
7,2.08
7,2.08
7,2.08
8,2.09
8,2.08
8,2.07
8,2.09
8,2.1
8,2.07
8,2.09
8,2.09
8,2.08
9,2.08
9,2.08
9,2.08
9,2.07
9,2.07
9,2.09
9,2.08
9,2.09
9,2.09
10,2.09
10,2.08
10,2.09
10,2.09
10,2.1
10,2.09
10,2.09
10,2.08
10,2.09
11,2.09
11,2.08
11,2.07
11,2.08
11,2.08
11,2.07
11,2.08
11,2.09
