Repetition rate,exeTime
1,2.45
2,2
3,2.7
4,2.6001
5,2.7499
6,2.4
7,2.5
8,2.15
9,2.5999
10,2.4
11,2.7002
12,2.6001
13,2.5002
14,2.45
15,2.55
16,2.5
17,2.25
18,2.4502
19,2.55
20,2.4998
21,2.5
22,2.4497
23,2.55
24,2.45
25,2.55
26,2.5
27,2.55
28,2.25
29,2.05
30,2.5999
31,2.55
32,2.45
33,2.3501
34,2.55
35,2.4502
36,2.4502
37,2.5
38,2.25
39,2.2495
40,2.4497
41,2.4497
42,2.2495
43,2.3999
44,2.3994
45,2.3496
46,2.25
47,2.5
48,2.5503
49,2.3003
50,2.1499
51,2.3501
52,2.3501
53,2.25
54,2.1499
55,2.2002
56,2.2998
57,2.5498
58,2.0996
59,2.1001
60,2.2998
61,2.5498
62,2.3501
63,2.3501
64,2.1001
65,2.2002
66,2.1001
67,2.1504
68,2.3501
69,2.0498
70,2.0996
71,2.2002
72,1.5498
73,2.0996
74,2.1001
75,2.2495
76,2.1494
77,2.4004
78,2.3501
79,2.3501
80,1.8501
81,2.0498
82,1.6001
83,2.25
84,2
85,2.0503
86,1.8003
87,2
88,2.1001
89,1.8496
90,1.6499
91,1.8999
92,1.8994
93,1.9502
94,1.6494
95,1.8994
96,1.9004
97,1.5996
98,1.8994
99,1.6494
100,1.8496
101,1.6006
102,1.7998
103,1.6006
104,1.7002
105,1.7002
106,1.75
107,1.501
108,1.9004
109,1.7002
110,1.75
111,1.5996
112,1.5996
113,1.6504
114,1.5996
115,1.5
116,1.5996
117,1.75
118,1.5488
119,1.5498
120,1.5498
121,1.6992
122,1.5498
123,1.6006
124,1.5508
125,1.5
126,1.5498
127,1.5498
128,1.2998
129,1.1504
130,1.3506
131,1.4502
132,1.6504
133,1.5996
134,1.3496
135,1.4014
136,1.5498
137,1.25
138,1.249
139,1.6006
140,1.25
141,1.3496
142,1.5498
143,1.4004
144,1.6494
145,1.0488
146,1.5488
147,1.4004
148,1.2002
149,1.4492
150,1.5
151,1.4004
152,1.4502
153,1.5508
154,1.5508
155,1.3008
156,1.1494
157,1.4502
158,1.6494
159,1.8506
160,1.6006
161,1.3008
162,1.4492
163,1.4014
164,1.251
165,1.3506
166,1.5498
167,1.6006
168,1.3008
169,1.5
170,1.3496
171,1.4004
172,1.1504
173,1.6006
174,1.3506
175,1.2002
176,1.6006
177,1.7002
178,1.3496
179,1.6494
180,1.0508
181,1.2002
182,1.5996
183,1.4502
184,1.4502
185,1.2002
186,1.0508
187,1.1504
188,1.25
189,1.251
190,1.0996
191,1.2988
192,1.2998
193,1.2002
194,1.3008
195,1.0996
196,0.94922
197,1.499
198,0.84961
199,0.89941
200,1.5508
201,1.5996
202,0.94922
203,1.0996
204,0.9502
205,1.001
206,1.1006
207,1
208,0.90039
209,0.94922
210,1.1016
211,1
212,1.0498
213,0.9502
214,1.0508
215,1.1504
216,0.94922
217,1.1016
218,0.90039
219,1.1006
220,0.9502
221,0.9502
222,1.1006
223,1
224,1.0498
225,0.95117
226,1.0498
227,1.1504
228,1.1504
229,1.0498
230,1.1992
231,0.90039
232,1.2002
233,1.1006
234,1.2002
235,1.2002
236,0.95117
237,1.1006
238,1.0996
239,1.1992
240,1.25
241,1.2998
242,1.25
243,1.3994
244,1.25
245,1.3506
246,1.2002
247,1.3008
248,1.2988
249,1.4004
250,1.1504
251,1.25
252,1.1006
253,1.4014
254,1.3496
255,1.4004
256,1.5498
257,1.5498
258,1.499
259,1.4502
260,1.3994
261,1.3496
262,1.4004
263,1.501
264,1.5
265,1.4492
266,1.6504
267,1.5
268,1.75
269,1.4492
270,1.5996
271,1.6504
272,1.5
273,1.3496
274,1.6016
275,1.6523
276,1.7012
277,1.75
278,1.8008
279,1.75
280,1.5996
281,1.75
282,1.6484
283,1.8008
284,1.8984
285,1.8984
286,1.8516
287,1.8516
288,1.9492
289,1.6504
290,1.9492
291,1.9004
292,1.8496
293,1.9004
294,1.9492
295,1.8496
296,1.5508
297,1.8516
298,1.748
299,1.8516
300,2.0996
301,1.9492
302,2.0996
303,2.1504
304,2.25
305,1.8477
306,2.1504
307,2.1504
308,2.3516
309,2.0977
310,2.0488
311,2.2012
312,2.2988
313,2.0996
314,2.2012
315,11.9
316,2.4492
317,2.4512
318,2.3008
319,2.3008
320,2.2988
321,2.4492
322,2.3516
323,2.502
324,2.4512
325,2.5488
326,2.4492
327,2.4512
328,2.4512
329,2.4492
330,2.5508
331,2.5996
332,2.6504
333,2.25
334,2.1484
335,2.6016
336,2.6504
337,2.6504
338,2.4512
339,2.9004
340,2.8516
341,2.6992
342,2.8496
343,2.75
344,2.7012
345,2.8516
346,2.8984
347,2.748
348,2.9512
349,3.0508
350,3.1504
351,2.9492
352,2.9492
353,2.1504
354,2.8496
355,2.75
356,3.0527
357,2.6016
358,2.9492
359,3.3496
360,2.9004
361,1.3008
362,1.3516
363,2.8984
364,2.8027
365,2.998
366,3.4492
367,3.25
368,3.5
369,3.25
370,3.5
371,3.5
372,3.5
373,3.25
374,3.3027
375,3.2012
376,3.1992
377,12.75
378,3.6992
379,3.4492
380,3.502
381,3.6523
382,3.6016
383,3.8008
384,3.5488
385,3.5996
386,3.8984
387,3.8496
388,3.6504
389,3.7012
390,3.75
391,3.6484
392,3.75
393,3.7988
394,3.75
395,3.8984
396,3.9492
397,3.2988
398,4.3008
399,4
400,4.2012
401,4.25
402,4.1992
403,4.002
404,4.0996
405,4.1484
406,4.0996
407,4.2988
408,4.5508
409,4.5996
410,4.1484
411,4.25
412,4.4512
413,4.5488
414,4.8496
415,3.752
416,4.75
417,4.9492
418,4.1992
419,4.748
420,4.8516
421,4.7988
422,4
423,5.0508
424,4.3516
425,4.8496
426,4.4492
427,5.1504
428,4.8496
429,4.9492
430,5.0508
431,4.9023
432,5.3516
433,4.9492
434,4.6973
435,5
436,5.4004
437,5.25
438,4.8984
439,5.248
440,5.4531
441,5.4004
442,5.4492
443,5.3496
444,5.0996
445,5.3984
446,5.2988
447,5.002
448,5.4004
449,5.4492
450,5.3496
451,5.5488
452,5.5508
453,4.75
454,5.7012
455,5.9512
456,5.0996
457,5.8008
458,5.498
459,5.7988
460,5.9512
461,5.6504
462,5.4492
463,5.9492
464,6
465,5.752
466,6
467,5.3496
468,6.002
469,5.8516
470,6.1504
471,6.1484
472,6.1992
473,6.3984
474,6.1016
475,6.25
476,6.3496
477,6.1504
478,6.4492
479,6.4512
480,6.4492
481,6.5
482,5.6504
483,6.0996
484,5.9531
485,6.3516
486,5.9004
487,6.6016
488,6.8984
489,6.9004
490,6.4492
491,6.5996
492,6.8496
493,6.4492
494,6.6484
495,6.7012
496,6.75
497,7.0508
498,7
499,7.5527
500,6.9004
501,6.752
502,6.3008
503,7.0488
504,7.5
505,7.0527
506,7.4492
507,7.4004
508,7.3984
509,7.6504
510,7.25
511,7.75
512,7.4492
513,7.1992
514,7.6016
515,6.9004
516,7.6992
517,7.7012
518,7.6484
519,7.8008
520,6.7988
521,8
522,8.1484
523,7.5996
524,7.4023
525,8.002
526,7.5
527,7.5508
528,7.5488
529,7.6484
530,7.9004
531,7.6504
532,7.8496
533,7.8008
534,8.4512
535,7.8984
536,8.3516
537,8.25
538,7.75
539,8.4492
540,8.5
541,8.6016
542,8.3516
543,8.5469
544,8.8477
545,7.9531
546,8.6016
547,7.8516
548,8.8516
549,8.9023
550,7.75
551,8.4531
552,9.1523
553,8.75
554,8.7969
